iter	RMSE
0	3.860524545
1	3.856350987
2	3.852657826
3	3.848726254
4	3.844868776
5	3.841524978
6	3.838092237
7	3.834825867
8	3.831656309
9	3.828543005
10	3.825163811
11	3.822001874
12	3.818960108
13	3.81585222
14	3.813063903
15	3.810084635
16	3.807143742
17	3.804313177
18	3.801817427
19	3.799212118
20	3.796645858
21	3.794351894
22	3.792004996
23	3.78972041
24	3.787398033
25	3.784899696
26	3.78262045
27	3.780115111
28	3.778071585
29	3.776118646
30	3.773903403
31	3.77174876
32	3.769792007
33	3.767613382
34	3.76547135
35	3.76329686
36	3.761527116
37	3.759573088
38	3.757772193
39	3.755709081
40	3.753966615
41	3.752078756
42	3.75052454
43	3.748972733
44	3.747334716
45	3.745815343
46	3.744373829
47	3.742632112
48	3.741131785
49	3.7395272
50	3.737766762
51	3.736267506
52	3.734856378
53	3.733412135
54	3.731937308
55	3.730654354
56	3.729365532
57	3.728000729
58	3.726829928
59	3.725510327
60	3.724221985
61	3.723109257
62	3.721731949
63	3.720500942
64	3.719255037
65	3.718329666
66	3.71726616
67	3.716055622
68	3.714880345
69	3.713704145
70	3.712884109
71	3.711750234
72	3.710721857
73	3.709909346
74	3.708933444
75	3.707916016
76	3.706895306
77	3.705682928
78	3.704771279
79	3.703945213
80	3.702972782
81	3.702135318
82	3.701293145
83	3.700505617
84	3.699757388
85	3.698943722
86	3.698067956
87	3.697191565
88	3.696299769
89	3.69559205
90	3.694663708
91	3.693917547
92	3.693178444
93	3.692382338
94	3.691666567
95	3.691195235
96	3.690571618
97	3.689683008
98	3.68887021
99	3.688253822
100	3.687511234
101	3.686803879
102	3.686255644
103	3.685730206
104	3.684947507
105	3.684306861
106	3.683665875
107	3.682854444
108	3.682225646
109	3.681587112
110	3.680817347
111	3.680279437
112	3.679935841
113	3.679336871
114	3.678614751
115	3.677853825
116	3.677078582
117	3.676412591
118	3.675678592
119	3.675015626
120	3.674435223
121	3.673860131
122	3.67336213
123	3.672847631
124	3.672288576
125	3.67175156
126	3.671374809
127	3.670790443
128	3.670367973
129	3.669676631
130	3.669018396
131	3.668557362
132	3.668171311
133	3.667677114
134	3.667285026
135	3.666770012
136	3.666319913
137	3.665693835
138	3.665075846
139	3.664446543
140	3.663775196
141	3.663170997
142	3.662641194
143	3.662185337
144	3.661718413
145	3.661063683
146	3.660611971
147	3.66011085
148	3.659805954
149	3.659407604
150	3.658878715
151	3.658513792
152	3.657946874
153	3.65748398
154	3.65710414
155	3.656541729
156	3.656187228
157	3.655652276
158	3.655045728
159	3.654351002
160	3.65377842
161	3.653357622
162	3.652756531
163	3.652404351
164	3.6518147
165	3.651256941
166	3.650784065
167	3.650385568
168	3.649879526
169	3.649387368
170	3.648967719
171	3.648367178
172	3.64806916
173	3.6475126
174	3.647119204
175	3.646618156
176	3.646128842
177	3.64563958
178	3.645322233
179	3.644985323
180	3.644617198
181	3.644170251
182	3.64347512
183	3.643042822
184	3.642645575
185	3.642261476
186	3.641784319
187	3.64134483
188	3.641078447
189	3.640741255
190	3.640520235
191	3.640120856
192	3.639693841
193	3.639327459
194	3.638991484
195	3.638477006
196	3.637870775
197	3.637551496
198	3.636889743
199	3.636477631
200	3.636099803
201	3.635767803
202	3.635323108
203	3.634815586
204	3.63447769
205	3.634030305
206	3.633701696
207	3.633507643
208	3.633230225
209	3.632773696
210	3.632371273
211	3.631994262
212	3.631649789
213	3.631446125
214	3.631164603
215	3.630703029
216	3.630033832
217	3.629735095
218	3.62921767
219	3.628837227
220	3.628448452
221	3.627995104
222	3.627641111
223	3.627463158
224	3.62720749
225	3.626914226
226	3.626603395
227	3.626295616
228	3.625853876
229	3.62532617
230	3.6247557
231	3.624362748
232	3.623615281
233	3.623414635
234	3.623068244
235	3.62272642
236	3.622413205
237	3.621948122
238	3.621711091
239	3.621404703
240	3.620937363
241	3.620634021
242	3.620261333
243	3.619589912
244	3.619157343
245	3.618977546
246	3.618644175
247	3.618335907
248	3.61797974
249	3.617599982
250	3.617187592
251	3.616973831
252	3.616362443
253	3.615991467
254	3.615624664
255	3.61528615
256	3.614930094
257	3.614568693
258	3.613792771
259	3.613440337
260	3.6129168
261	3.612542455
262	3.612198554
263	3.611897948
264	3.611683009
265	3.611288981
266	3.610887103
267	3.610457872
268	3.610017483
269	3.609617934
270	3.609326159
271	3.609155872
272	3.608673479
273	3.608295108
274	3.608038255
275	3.607861304
276	3.607524616
277	3.607263752
278	3.607065538
279	3.60682506
280	3.606486099
281	3.606221457
282	3.605931145
283	3.60550477
284	3.605249573
285	3.605032851
286	3.604682048
287	3.604483925
288	3.603998914
289	3.603428908
290	3.603105956
291	3.602778852
292	3.602537212
293	3.602370085
294	3.60205982
295	3.601747159
296	3.6014621
297	3.601090871
298	3.600546498
299	3.600165096
300	3.599783635
301	3.599461363
302	3.599176412
303	3.598959901
304	3.598547654
305	3.598230698
306	3.597843424
307	3.597568801
308	3.597166912
309	3.596972756
310	3.596705766
311	3.596441201
312	3.596251048
313	3.595780552
314	3.59546122
315	3.595210806
316	3.59473702
317	3.594401523
318	3.594116024
319	3.593834294
320	3.593591846
321	3.59336943
322	3.592971643
323	3.592764874
324	3.592124237
325	3.591667282
326	3.59139507
327	3.59090363
328	3.590375726
329	3.590198764
330	3.589711284
331	3.589428388
332	3.589188394
333	3.589041274
334	3.588791441
335	3.588487465
336	3.588174017
337	3.587995442
338	3.587559308
339	3.587263651
340	3.586898467
341	3.586635295
342	3.586179348
343	3.585947402
344	3.585693172
345	3.585310047
346	3.585056795
347	3.584750394
348	3.584441176
349	3.584119183
350	3.583714685
351	3.583320084
352	3.582818004
353	3.582444205
354	3.582158674
355	3.581765295
356	3.581619884
357	3.581424225
358	3.581241474
359	3.580892134
360	3.580693707
361	3.580388209
362	3.580204058
363	3.57993056
364	3.579761982
365	3.579538099
366	3.579212337
367	3.578952252
368	3.578624132
369	3.578251386
370	3.578068253
371	3.577930914
372	3.577662714
373	3.577439476
374	3.577063443
375	3.576826505
376	3.576506627
377	3.576219674
378	3.576062873
379	3.575764244
380	3.57540018
381	3.575019059
382	3.574736424
383	3.574471159
384	3.574194942
385	3.573895723
386	3.573540251
387	3.573325544
388	3.573107143
389	3.572890892
390	3.572493479
391	3.572304754
392	3.571936439
393	3.57155585
394	3.571271348
395	3.571004214
396	3.57079743
397	3.57043104
398	3.570061027
399	3.569854681
400	3.569530935
401	3.569325541
402	3.569104022
403	3.56884805
404	3.568633823
405	3.568471953
406	3.568079846
407	3.567896329
408	3.567616866
409	3.567358469
410	3.566940994
411	3.566575203
412	3.566191492
413	3.566050464
414	3.565768317
415	3.565373912
416	3.565115868
417	3.564821808
418	3.564485778
419	3.564174175
420	3.563675144
421	3.563429824
422	3.563266025
423	3.562963843
424	3.562755438
425	3.562465036
426	3.562323879
427	3.562201777
428	3.561820349
429	3.561570003
430	3.561023408
431	3.560760645
432	3.56058106
433	3.560218273
434	3.559908284
435	3.55976225
436	3.559528299
437	3.559331332
438	3.55897377
439	3.558705031
440	3.558383017
441	3.558006756
442	3.557739295
443	3.557451748
444	3.556830501
445	3.556544899
446	3.556094705
447	3.555851158
448	3.55531074
449	3.554887249
450	3.554662517
451	3.554337793
452	3.554098185
453	3.553889774
454	3.553692448
455	3.553484724
456	3.553231611
457	3.552968517
458	3.552879549
459	3.552571072
460	3.552181596
461	3.551963579
462	3.551685798
463	3.551198414
464	3.550851093
465	3.550541135
466	3.550082608
467	3.549770133
468	3.549596476
469	3.549208915
470	3.548958545
471	3.548633982
472	3.54833937
473	3.548200237
474	3.547828876
475	3.547497701
476	3.547236517
477	3.54684071
478	3.546656938
479	3.546480522
480	3.546205378
481	3.545914171
482	3.545734777
483	3.54556496
484	3.545388973
485	3.54510858
486	3.544833597
487	3.544623201
488	3.544313706
489	3.544089333
490	3.54379443
491	3.543496564
492	3.543231511
493	3.543026655
494	3.542843214
495	3.542557405
496	3.542271476
497	3.541948065
498	3.541653905
499	3.541259225
500	3.541002236
501	3.540774301
502	3.540487962
503	3.540285601
504	3.540085601
505	3.539783868
506	3.539501285
507	3.539120678
508	3.538916469
509	3.538461326
510	3.538125227
511	3.537841446
512	3.53758335
513	3.537426544
514	3.537269366
515	3.53712476
516	3.536781336
517	3.536434905
518	3.536007923
519	3.535634212
520	3.535407692
521	3.535232948
522	3.534913325
523	3.534719207
524	3.534495795
525	3.534273448
526	3.533870219
527	3.533774913
528	3.533535848
529	3.533152861
530	3.532889016
531	3.532764629
532	3.532354314
533	3.532091432
534	3.531950051
535	3.531750123
536	3.53141113
537	3.531136793
538	3.530786941
539	3.530522892
540	3.530144857
541	3.529862797
542	3.529495766
543	3.529249851
544	3.528953962
545	3.528749464
546	3.52849862
547	3.528297424
548	3.528116327
549	3.527899562
550	3.527652193
551	3.527398102
552	3.52706125
553	3.526676979
554	3.526444984
555	3.526063636
556	3.525862369
557	3.525666608
558	3.525447674
559	3.525229258
560	3.525120909
561	3.52481571
562	3.524441292
563	3.524022472
564	3.523812418
565	3.523568702
566	3.523406703
567	3.523213787
568	3.523019233
569	3.522666686
570	3.522453511
571	3.522079925
572	3.521846262
573	3.521526447
574	3.52136603
575	3.521164334
576	3.520853922
577	3.520701958
578	3.520239948
579	3.520064051
580	3.519894578
581	3.519597117
582	3.519432724
583	3.519234878
584	3.518990789
585	3.51876959
586	3.518504514
587	3.518327328
588	3.518084816
589	3.517853223
590	3.51760461
591	3.517417801
592	3.517160768
593	3.516948149
594	3.516720117
595	3.516459152
596	3.516188023
597	3.516006963
598	3.515824818
599	3.515543757
600	3.515172401
601	3.515057449
602	3.514743773
603	3.514519648
604	3.514130429
605	3.513742805
606	3.513496629
607	3.513299836
608	3.513037811
609	3.512726661
610	3.512425839
611	3.512252648
612	3.512009435
613	3.511808695
614	3.511371801
615	3.511172479
616	3.510947467
617	3.510761574
618	3.510524312
619	3.510217192
620	3.509993897
