iter	Passed	Remaining
0	119	83301
1	257	89837
2	402	93593
3	546	95029
4	703	97796
5	844	97675
6	997	98714
7	1132	97918
8	1300	99862
9	1458	100613
10	1615	101167
11	1767	101308
12	1916	101269
13	2056	100767
14	2219	101342
15	2373	101475
16	2539	102010
17	2682	101630
18	2839	101755
19	2978	101257
20	3131	101251
21	3285	101250
22	3431	101015
23	3577	100763
24	3738	100941
25	3900	101120
26	4059	101181
27	4199	100777
28	4351	100687
29	4494	100373
30	4650	100371
31	4796	100134
32	4942	99906
33	5102	99947
34	5262	99984
35	5402	99637
36	5551	99474
37	5706	99419
38	5852	99191
39	5990	98846
40	6137	98645
41	6285	98477
42	6419	98088
43	6560	97814
44	6710	97681
45	6849	97378
46	7009	97383
47	7157	97218
48	7305	97062
49	7448	96831
50	7597	96677
51	7744	96506
52	7896	96400
53	8031	96077
54	8176	95892
55	8324	95727
56	8477	95635
57	8622	95442
58	8768	95262
59	8914	95091
60	9065	94960
61	9206	94742
62	9355	94594
63	9503	94441
64	9658	94358
65	9811	94248
66	9951	94019
67	10084	93728
68	10228	93543
69	10362	93266
70	10517	93176
71	10687	93221
72	10844	93139
73	10991	92986
74	11129	92745
75	11268	92518
76	11425	92441
77	11585	92383
78	11749	92356
79	11893	92173
80	12034	91970
81	12176	91770
82	12313	91532
83	12453	91327
84	12605	91206
85	12746	91004
86	12890	90822
87	13023	90570
88	13159	90340
89	13293	90101
90	13437	89927
91	13584	89778
92	13731	89622
93	13880	89482
94	14030	89349
95	14163	89112
96	14308	88950
97	14447	88747
98	14588	88564
99	14723	88339
100	14859	88129
101	14996	87920
102	15132	87708
103	15264	87476
104	15418	87371
105	15563	87215
106	15712	87077
107	15842	86841
108	15979	86641
109	16122	86472
110	16265	86308
111	16397	86087
112	16545	85949
113	16691	85800
114	16826	85594
115	16955	85363
116	17088	85152
117	17218	84924
118	17353	84723
119	17488	84527
120	17642	84420
121	17781	84241
122	17945	84183
123	18088	84022
124	18227	83848
125	18376	83715
126	18533	83618
127	18681	83482
128	18826	83330
129	18965	83157
130	19108	82998
131	19252	82842
132	19397	82695
133	19542	82544
134	19692	82417
135	19824	82212
136	19955	82008
137	20107	81887
138	20251	81734
139	20408	81634
140	20559	81510
141	20705	81362
142	20838	81167
143	20974	80983
144	21114	80816
145	21282	80755
146	21421	80585
147	21553	80388
148	21703	80257
149	21835	80064
150	21973	79891
151	22112	79722
152	22263	79593
153	22405	79436
154	22533	79232
155	22690	79124
156	22832	78969
157	22975	78816
158	23118	78660
159	23252	78476
160	23388	78300
161	23516	78098
162	23664	77963
163	23816	77839
164	23970	77723
165	24119	77589
166	24253	77408
167	24387	77225
168	24535	77089
169	24699	77005
170	24840	76846
171	24972	76659
172	25110	76491
173	25242	76308
174	25377	76132
175	25513	75960
176	25658	75815
177	25799	75657
178	25932	75478
179	26128	75480
180	26315	75456
181	26493	75404
182	26675	75361
183	26838	75263
184	26991	75139
185	27141	75002
186	27321	74951
187	27480	74840
188	27639	74729
189	27777	74561
190	27914	74391
191	28049	74213
192	28195	74066
193	28334	73902
194	28465	73719
195	28609	73567
196	28739	73380
197	28888	73243
198	29024	73071
199	29158	72896
200	29293	72722
201	29447	72599
202	29610	72494
203	29758	72352
204	29897	72190
205	30028	72009
206	30176	71868
207	30341	71769
208	30512	71681
209	30707	71650
210	30883	71572
211	31045	71464
212	31198	71331
213	31325	71140
214	31464	70978
215	31627	70868
216	31774	70724
217	31927	70592
218	32064	70425
219	32193	70241
220	32329	70071
221	32467	69906
222	32611	69756
223	32775	69648
224	32904	69465
225	33043	69302
226	33181	69139
227	33332	69004
228	33463	68825
229	33615	68692
230	33772	68568
231	33903	68391
232	34036	68219
233	34170	68048
234	34297	67865
235	34421	67675
236	34557	67510
237	34695	67350
238	34839	67201
239	34967	67020
240	35106	66862
241	35234	66683
242	35378	66534
243	35513	66370
244	35670	66245
245	35808	66085
246	35939	65912
247	36114	65821
248	36292	65734
249	36425	65565
250	36561	65402
